id_host_anon,id_listing_anon,room_type,listing_neighborhood,listing_bookings,total_reviews,total_guests,total_interactions,average_booking_time_hrs,booking_rate
70660ded-6ea7-48bd-a86a-fc209358e34c,351f7f34-72a5-4ce9-ab79-71da361f72c6,Entire home/apt,Barra da Tijuca,0.0,0.0,2.0,4,,0.0
e2e27ea2-4ec3-4441-b517-021888609178,ea356fca-e04b-4ecf-892e-9bd6af79db16,Shared room,Glória,1.0,1.0,1.0,5,0.06598379629629629,1.0
4ba5ed9c-188a-4bfb-b9fa-b065aa718fd1,0e27a62e-9937-4a27-9916-cb35209d32eb,Entire home/apt,Recreio dos Bandeirantes,2.0,8.0,10.0,19,0.039427083333333335,0.5
b87622ba-0bdd-4f69-aba5-9b3f52de74ca,a7989abe-a31b-4ad0-b874-c08f75782627,Entire home/apt,Lapa,1.0,39.0,5.0,47,1.6421180555555557,0.3333333333333333
b0e9eb71-9534-4c42-9350-258e706a2bbf,52f3408b-c0ab-44e5-b97f-4de361c59697,Entire home/apt,Copacabana,1.0,18.0,37.0,39,0.22924768518518518,0.16666666666666666
a65e485a-f48d-450d-b5a8-24820da85666,180254f3-f9d0-47e1-9727-a931165e18f1,Private room,Ipanema,1.0,10.0,2.0,8,1.4539699074074075,1.0
a5c276ac-6260-46a9-84de-f28e65409b77,0fb385ef-3e21-4696-a0cd-d7d7caaabfd8,Entire home/apt,-unknown-,2.0,6.0,2.0,80,0.5368576388888889,1.0
5db7f35b-4e9f-447d-b718-35ad47186ac2,43895d59-124a-4d12-b2db-a533acfe00aa,Entire home/apt,Ipanema,0.0,0.0,2.0,3,,0.0
f46da43f-1c23-4fda-81ee-5ba645cb4a8a,98507292-2650-422d-a6f2-25f5d99cd223,Entire home/apt,-unknown-,0.0,0.0,6.0,15,,0.0
c55f7ab5-2c2a-458a-9bce-98d49d4d1d2c,b9e4d379-5756-43a3-a010-cd3344b16976,Private room,Ipanema,10.0,156.0,20.0,92,0.0005324074074074074,0.8333333333333334
3ae68d59-d0a9-4c29-8b2d-dcbd933d7617,21918fdc-33de-41d9-acab-8fb102f70beb,Entire home/apt,-unknown-,1.0,0.0,3.0,42,0.004201388888888889,1.0
